"","X","Y","OBJECTID","stop_id","stop_name","platform_name","stop_address","municipality","stop_url"
"1",-71.0273399996242,42.35978900027,638612,"Boat-Logan","LOGAN","Hingham/Hull Ferry","Harborside Dr, East Boston, MA 02128","Boston","https://www.mbta.com/stops/Boat-Logan"
"2",-71.0525280003739,42.3727560004102,638607,"Boat-Charlestown","Charlestown","Charlestown Ferry","Pier 4, Boston, MA 02129","Boston","https://www.mbta.com/stops/Boat-Charlestown"
"3",-70.9304269998872,42.3197420004232,638608,"Boat-George","Georges","Hingham/Hull Ferry","George's Island, Boston, MA","Boston","https://www.mbta.com/stops/Boat-George"
"4",-70.9198440000702,42.2539559995986,638609,"Boat-Hingham","Hingham","Hingham/Hull Ferry","28 Shipyard Dr, Hingham, MA 02043","Hingham","https://www.mbta.com/stops/Boat-Hingham"
"5",-70.9202150004813,42.303251000026,638610,"Boat-Hull","Hull","Hingham/Hull Ferry","180 Main St, Hull, MA 02045","Hull","https://www.mbta.com/stops/Boat-Hull"
"6",-71.0419579994631,42.3658670001028,638611,"Boat-Lewis","Lewis Wharf","East Boston Ferry","65 Lewis St, Boston, MA 02128","Boston","https://www.mbta.com/stops/Boat-Lewis"
"7",-71.0273399996242,42.35978900027,638612,"Boat-Logan","Logan","Hingham/Hull Ferry","Harborside Dr, East Boston, MA 02128","Boston","https://www.mbta.com/stops/Boat-Logan"
"8",-71.0499759995731,42.3607949995689,638613,"Boat-Long","Long Wharf N","Hingham/Hull Ferry","Long Wharf near Christopher Columbus Park, Boston, MA 02110","Boston","https://www.mbta.com/stops/Boat-Long"
"9",-71.0504979996327,42.359448000016,638614,"Boat-Long-South","Long Wharf S","Charlestown Ferry","Long Wharf near Old Atlantic Ave, Boston, MA 02110","Boston","https://www.mbta.com/stops/Boat-Long-South"
"10",-71.0498970005759,42.3557209997207,638615,"Boat-Rowes","Rowes Wharf","Hingham/Hull Ferry","60 Rowes Wharf, Boston, MA 02110","Boston","https://www.mbta.com/stops/Boat-Rowes"
